accession	description	tax_id	base_count	first_public
X58694	D. hydei ADH-1 and ADH-2 genes for alcohol dehydrogenase and an ADH psi pseudogene	7224	8447	1991-04-11
EF137004	Drosophila americana isolate IR04.18 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF137007	Drosophila americana isolate IR04.96 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136980	Drosophila americana isolate HI99.15 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF137001	Drosophila americana isolate IR04.10 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136991	Drosophila americana isolate SB02.07 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF137003	Drosophila americana isolate IR04.15 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136973	Drosophila americana isolate FP99.81 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
EF136981	Drosophila americana isolate HI99.21 Adh (Adh) gene, partial cds.	40366	840	2006-12-24
MN268000	Drosophila subquinaria isolate S_SE_1 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267972	Drosophila recens isolate R_KA_5 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267994	Drosophila subquinaria isolate S_MS_2 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267963	Drosophila recens isolate R_SM_18 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267971	Drosophila recens isolate R_KA_196 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267998	Drosophila subquinaria isolate S_PO_42 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267984	Drosophila subquinaria isolate S_DE_5 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN268003	Drosophila subquinaria isolate S_SE_47 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN267960	Drosophila recens isolate R_CA_1 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267967	Drosophila recens isolate R_HI_33 ADH-related protein (ADH-R) gene, partial cds.	55946	552	2019-08-23
MN267982	Drosophila subquinaria isolate S_DE_1 ADH-related protein (ADH-R) gene, partial cds.	198725	552	2019-08-23
MN268006	Drosophila transversa isolate T_UP_2 ADH-related protein (ADH-R) gene, partial cds.	193351	552	2019-08-23
GQ376037	Drosophila repleta alcohol dehydrogenase (ADH) gene, partial cds.	30043	410	2009-08-02
AY750138	Drosophila robusta alcohol dehydrogenase (Adh) gene, partial cds.	7257	911	2005-12-31
EU490429	Drosophila endobranchia alcohol dehydrogenase (Adh) gene, partial cds.	508692	651	2008-03-11
AY081441	Drosophila bromeliae alcohol dehydrogenase (Adh) gene, partial cds.	7278	289	2002-08-09
AY081442	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.	30041	283	2002-08-09
DQ471658	Drosophila ezoana alcohol dehydrogenase (Adh) gene, partial cds.	47313	711	2006-07-20
DQ471668	Drosophila virilis alcohol dehydrogenase (Adh) gene, partial cds.	7244	711	2006-07-20
AY750134	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.	311479	911	2005-12-31
AY750142	Drosophila gani alcohol dehydrogenase (Adh) gene, partial cds.	311479	911	2005-12-31
AY081443	Drosophila ornatipennis alcohol dehydrogenase (Adh) gene, partial cds.	133996	277	2002-08-09
AY081439	Drosophila ornatifrons alcohol dehydrogenase (Adh) gene, partial cds.	30031	283	2002-08-09
U26837	Drosophila americana alcohol dehydrogenase (Adh) gene, complete cds.	40366	950	1995-06-22
AB932677	Drosophila testacea Adh gene for alcohol dehydrogenase, partial cds.	38838	826	2015-01-14
AB261137	Drosophila nasuta Adh gene for alcohol dehydrogenase, partial cds.	42062	863	2007-11-03
AB932655	Drosophila falleni Adh gene for alcohol dehydrogenase, partial cds.	7279	810	2014-10-26
AB932660	Drosophila innubila Adh gene for alcohol dehydrogenase, partial cds.	198719	776	2014-10-26
DQ471611	Drosophila americana texana alcohol dehydrogenase (Adh) gene, partial cds.	40372	711	2006-07-20
AB033642	Drosophila albomicans Adh mRNA for alcohol dehydrogenase, partial cds.	7291	711	1999-11-16
AB261131	Drosophila formosana Adh gene for alcohol dehydrogenase, partial cds.	157056	839	2007-11-03
AB932659	Drosophila histrio Adh gene for alcohol dehydrogenase, partial cds.	198718	840	2015-01-14
AB261134	Drosophila neohypocausta Adh gene for alcohol dehydrogenase, partial cds.	157057	879	2007-11-03
AB261140	Drosophila maculinotata Adh gene for alcohol dehydrogenase, partial cds.	387622	840	2007-11-03
AY095942	Drosophila kuntzei isolate kun2 alcohol dehydrogenase (Adh) gene, partial cds.	42027	431	2003-05-01
DQ471624	Drosophila multidentata strain 55 alcohol dehydrogenase (Adh) gene, partial cds.	381467	711	2006-07-20
MK017212	UNVERIFIED: Drosophila phalerata adh-related-like (Adhr) gene, partial sequence.	7283	495	2018-12-05
DQ471648	Drosophila barutani strain 245 alcohol dehydrogenase (Adh) gene, partial cds.	381452	711	2006-07-20
AY095936	Drosophila limbata isolate lim2 alcohol dehydrogenase (Adh) gene, partial cds.	42028	446	2003-05-01
AY095937	Drosophila transversa isolate tra3 alcohol dehydrogenase (Adh) gene, partial cds.	193351	437	2003-05-01
